id_aluno;ano;nome;genero;idade;ano_nascimento;ano_ingresso;anos_na_pm;instituicao;escola;turma;fase;fase_ideal;defasagem;defasado;nivel_defasagem;inde;pedra;IAA;IEG;IPS;IPP;IDA;IPV;IAN;nota_mat;nota_por;nota_ing;qtd_avaliadores;rank_geral;rank_fase;rank_turma;atingiu_pv;indicado_bolsa;defasagem_original;ano_ingresso_declarado;ingresso_inconsistente;n_anos_observados
RA-1;2022;Aluno-1;F;19,0;2003,0;2016;6;Pública;;A;7,0;8,0;-1,0;True;Moderada (1);5,783;Quartzo;8,3;4,1;5,6;;4,0;7,278;5,0;2,7;3,5;6,0;4,0;753;18;10;False;True;-1;2016;True;3
RA-1;2023;Aluno-1;F;20,0;2003,0;2016;7;Privada - Bolsa 100%;;8E;8,0;8,0;0,0;False;Adequado;;;;;;;;;10,0;;;;;;;;;;0;2016;True;3
RA-1;2024;Aluno-1;F;21,0;2003,0;2016;8;Privada - Bolsa 100%;Universidade Santo Amaro (UNISA);8E;8,0;8,0;0,0;False;Adequado;;;;0,0;;;;;10,0;;;;0,0;;;;;;0;2021;True;3
RA-10;2022;Aluno-10;F;18,0;2004,0;2021;1;Pública;;A;7,0;8,0;-1,0;True;Moderada (1);5,784;Quartzo;8,3;5,2;5,0;;4,1;7,056;5,0;3,3;2,6;6,4;4,0;752;17;9;False;False;-1;2021;False;1
RA-100;2022;Aluno-100;F;13,0;2009,0;2019;3;Privada - Parceira;;A;4,0;3,0;1,0;False;Adiantado;7,618;Ametista;8,8;7,8;5,0;;7,6;7,25;10,0;7,0;7,8;8,1;4,0;268;22;7;False;False;1;2019;False;1
RA-1000;2023;Aluno-1000;F;8,0;2015,0;2023;0;Pública;;ALFA U - G2/G3;0,0;0,0;0,0;False;Adequado;7,9162;Ametista;8,5;9,4;3,77;6,25;7,0;8,92;10,0;7,0;7,0;;2,0;;;;;;0;2023;False;2
RA-1000;2024;Aluno-1000;F;9,0;2015,0;2023;1;Pública;EE Helio Luiz Dobrochinski Prof;1N;1,0;1,0;0,0;False;Adequado;8,364790909100002;Topázio;9,002;9,5454545455;6,26;8,125;7,75;7,835;10,0;7,5;8,0;;2,0;;;;;;0;2023;False;2
RA-1001;2023;Aluno-1001;F;9,0;2014,0;2023;0;Pública;;ALFA U - G2/G3;0,0;1,0;-1,0;True;Moderada (1);8,1162;Topázio;9,0;9,1;7,52;7,5;7,8;9,17;5,0;8,3;7,3;;2,0;;;;;;-1;2023;False;2
RA-1001;2024;Aluno-1001;F;10,0;2014,0;2023;1;Pública;EE Helio Luiz Dobrochinski Prof;1N;1,0;2,0;-1,0;True;Moderada (1);7,7964318841;Ametista;7,502;9,347826087;7,51;7,916666667;7,75;7,92;5,0;6,5;9,0;;2,0;;;;;;-1;2023;False;2
RA-1002;2023;Aluno-1002;F;9,0;2014,0;2023;0;Pública;;ALFA U - G2/G3;0,0;1,0;-1,0;True;Moderada (1);7,9012;Ametista;9,0;9,7;7,52;6,25;7,0;8,92;5,0;7,0;7,0;;2,0;;;;;;-1;2023;False;2
